id,category_name,parent_category
1,"Beading & Jewelry Making","Arts & Crafts"
2,"Fabric Decorating","Arts & Crafts"
3,"Knitting & Crochet Supplies","Arts & Crafts"
4,"Printmaking Supplies","Arts & Crafts"
5,"Scrapbooking & Stamping Supplies","Arts & Crafts"
6,"Sewing Products","Arts & Crafts"
7,"Craft & Hobby Fabric","Arts & Crafts"
8,"Needlework Supplies","Arts & Crafts"
9,"Arts, Crafts & Sewing Storage","Arts & Crafts"
10,"Painting, Drawing & Art Supplies","Arts & Crafts"
11,"Craft Supplies & Materials","Arts & Crafts"
12,"Gift Wrapping Supplies","Office & School"
13,"Party Decorations","Home & Kitchen"
14,"Automotive Paint & Paint Supplies","Automotive"
15,"Heavy Duty & Commercial Vehicle Equipment","Automotive"
16,"Automotive Tires & Wheels","Automotive"
17,"Automotive Tools & Equipment","Automotive"
18,"Automotive Performance Parts & Accessories","Automotive"
19,"Car Care","Automotive"
20,"Oils & Fluids","Automotive"
21,"Automotive Replacement Parts","Automotive"
22,"Lights, Bulbs & Indicators","Automotive"
23,"Automotive Interior Accessories","Automotive"
24,"Automotive Exterior Accessories","Automotive"
25,"Automotive Enthusiast Merchandise","Automotive"
26,"Car Electronics & Accessories","Automotive"
27,"RV Parts & Accessories","Automotive"
28,"Motorcycle & Powersports","Automotive"
29,"Baby Diapering Products","Baby Care"
30,"Baby & Toddler Feeding Supplies","Baby Care"
31,"Pregnancy & Maternity Products","Baby Care"
32,"Child Safety Car Seats & Accessories","Baby Care"
33,"Baby Safety Products","Baby Care"
34,"Toilet Training Products","Baby Care"
35,"Baby Care Products","Baby Care"
36,"Baby Travel Gear","Baby Care"
38,"Baby Activity & Entertainment Products","Baby Care"
39,"Baby Gifts","Baby Care"
40,"Baby Stationery","Baby Care"
41,"Nursery Furniture, Bedding & Décor","Baby Care"
42,"Baby","Baby Care"
43,"Baby Boys' Clothing & Shoes","Clothing"
44,"Baby Strollers & Accessories","Baby Care"
45,"Beauty & Personal Care","Beauty"
46,"Perfumes & Fragrances","Beauty"
47,"Hair Care Products","Beauty"
48,"Makeup","Beauty"
49,"Skin Care Products","Beauty"
50,"Beauty Tools & Accessories","Beauty"
51,"Foot, Hand & Nail Care Products","Beauty"
52,"Personal Care Products","Beauty"
53,"Shaving & Hair Removal Products","Beauty"
54,"Computer Servers","Electronics"
55,"Data Storage","Electronics"
56,"Computer Monitors","Electronics"
57,"Computers & Tablets","Electronics"
58,"Tablet Replacement Parts","Electronics"
60,"Computer Networking","Electronics"
63,"Computer Components","Electronics"
64,"Tablet Accessories","Electronics"
65,"Laptop Accessories","Electronics"
66,"Computer External Components","Electronics"
68,"Wearable Technology","Electronics"
69,"Televisions & Video Products","Electronics"
70,"GPS & Navigation","Electronics"
71,"Headphones & Earbuds","Electronics"
72,"Office Electronics","Office & School"
73,"Portable Audio & Video","Electronics"
